title,artist,album,duration,genre,composer,time_secs,bit_rate,year,key,tempo,num_beats,file_name
Fall Into the Sky (feat. Eille Goulding),Zedd & Lucky Date,Clarity,216.32,Dance,,216.32,128.01542159763315 kbps,None,G,129.19921875,448,Fall Into the Sky (feat. Eille Goulding).mp3
Life Goes On,The Beatles,Anthology,193.41252872440842,Classic Rock,,193.41252872440842,192.0 kbps,1996,F,112.34714673913044,351,Life Goes On.mp3
"Second Child, Restless Child",The Oh Hellos,"Through the Deep, Dark Valley",166.34775510204082,Singer/Songwriter,,166.34775510204082,256.0 kbps,2012,A,92.28515625,232,"04 Second Child, Restless Child.m4a"
Mutha'uckas,Flight of the Conchords,Flight of the Conchords,146.93587301587303,Comedy,,146.93587301587303,256.0 kbps,2008,A,95.703125,223,06 Mutha'uckas.m4a
Bohemian Rhapsody,Queen,A Night at the Opera,347.2064054247897,Classic,,347.2064054247897,96.0 kbps,None,A#,143.5546875,802,Bohemian Rhapsody.mp3
Times Like These,Jack Johnson,On & On,140.6897052154195,Singer/Songwriter,Jack Johnson,140.6897052154195,256.0 kbps,2003,G,143.5546875,319,01 Times Like These.m4a
Bad Liar,Selena Gomez,Bad Liar - Single,214.57560090702947,Pop,,214.57560090702947,256.0 kbps,None,G#,123.046875,427,Bad Liar.m4a
Rodeo Clowns,Jack Johnson,On & On,156.8972335600907,Singer/Songwriter,Jack Johnson,156.8972335600907,256.0 kbps,2003,G#,123.046875,308,13 Rodeo Clowns.m4a
I Really Want You,James Blunt,All The Lost Souls,209.97253653614555,Indie,,209.97253653614555,192.0 kbps,2007,C,123.046875,398,07 I Really Want You.mp3
Fathers' Eyes,The Piano Guys,Wonders,240.11755102040817,Instrumental,Al van der Beek; Steven Sharp Nelson,240.11755102040817,256.0 kbps,2014,F,117.45383522727273,396,04 Fathers' Eyes.m4a
Even My Dad Does Sometimes,Ed Sheeran,x (Deluxe Edition),228.60045351473923,Singer/Songwriter,,228.60045351473923,256.0 kbps,2014,A,129.19921875,464,Even My Dad Does Sometimes.m4a
Bridge Over Troubled Water,David Archuleta,BEGIN.,306.7820408163265,Alternative,,306.7820408163265,256.0 kbps,2012,D#,78.30255681818181,380,Bridge Over Troubled Water.m4a
Heartless,Kris Allen,Kris Allen,222.37750566893425,Singer/Songwriter,Kanye West/Benjamin McIldowie/Ernest Wilson/Scott Mescudi/Jeffrey Bhasker/Malik Jones,222.37750566893425,256.0 kbps,2009,F,95.703125,325,13 Heartless.m4a
I Need Some Sleep,Eels,Shrek 2,148.05043083900227,Alternative,E,148.05043083900227,256.0 kbps,2004,E,129.19921875,300,07 I Need Some Sleep.m4a
All That I Am,Rob Thomas,...something to be,268.7245351473923,Alternative,,268.7245351473923,256.0 kbps,2005,E,89.10290948275862,388,07 All That I Am.m4a
King Of Pain,The Police,Every Breath You Take,300.2572335600907,Classic Rock,,300.2572335600907,256.0 kbps,1995,A,123.046875,602,11 King Of Pain.m4a
Come Over (feat. Stylo G),Clean Bandit,New Eyes,223.12054421768707,Alternative,,223.12054421768707,256.0 kbps,None,G,99.38401442307692,364,Come Over (feat. Stylo G).m4a
"I'm the One (feat. Justin Bieber, Quavo, Chance The Rapper, Lil Wayne)",DJ Khaled,Grateful,300.7891782000156,R&B/Soul,,300.7891782000156,128.0 kbps,None,G,80.74951171875,388,"I'm the One (feat. Justin Bieber, Quavo, Chance The Rapper, Lil Wayne).mp3"
Crush,David Archuleta,David Archuleta,212.06784580498865,Alternative,Jess Cates/David Hodges/Emanuel Kiriakou,212.06784580498865,256.0 kbps,2008,A#,107.666015625,371,01 Crush.m4a
Foux Du Fafa,Flight of the Conchords,Flight of the Conchords,166.48707482993197,Comedy,,166.48707482993197,256.0 kbps,2008,E,135.99917763157896,363,01 Foux Du Fafa.m4a
Waterfall,The Piano Guys,The Piano Guys 2,184.0645804988662,Instrumental,,184.0645804988662,256.0 kbps,2013,G,123.046875,359,09 Waterfall.m4a
Bad Guy,3OH!3,Iron Man: Heros Fall,183.79755102040815,Alternative,,183.79755102040815,128.0181148735077 kbps,None,E,103.359375,295,Bad Guy.mp3
We No Speak Americano,Yolanda Be Cool & DCUP,We No Speak Americano - Single,157.57602838264492,Dance,,157.57602838264492,192.0 kbps,None,A#,123.046875,322,12 We No Speak Americano.mp3
You Are The Music In Me (Version 2),High School Musical Cast,High School Musical 2,147.33061224489796,Disney,"Kenny Ortega, Bill Borden, Barry Rosenbush",147.33061224489796,256.0 kbps,2007,D,143.5546875,337,06 You Are The Music In Me (Version 2).m4a
amped2_4,Amped 2 Soundtrack,Amped 2 Soundtrack,194.37897601145724,Amped 2,,194.37897601145724,192.0 kbps,2004,F,123.046875,382,12 amped2_4.mp3
Walk Away,High School Musical Cast; Vanessa Hudgens,High School Musical 3: Senior Year,227.99673469387756,Disney,Jamie Houston,227.99673469387756,256.0 kbps,2008,D#,99.38401442307692,354,08 Walk Away.m4a
Rusted From The Rain,Billy Talent,Billy Talent III,253.30648526077098,Rock,Brendan O'Brien,253.30648526077098,256.0 kbps,2009,E,89.10290948275862,352,02 Rusted From The Rain.m4a
Mahna Mahna,CAKE,B-Sides And Rarities ,174.12643990929706,Alternative,Cake,174.12643990929706,256.0 kbps,2007,G,184.5703125,518,03 Mahna Mahna.m4a
Unbelievable,Owl City,Mobile Orchestra,193.56154195011337,Alternative,,193.56154195011337,256.0 kbps,None,A#,117.45383522727273,370,Unbelievable.m4a
Push,Sky,Piece Of Paradise,271.9985487528345,Pop,,271.9985487528345,256.0 kbps,1998,G,184.5703125,834,01 Push.m4a
You're So Real,Matchbox Twenty,More Than You Think You Are,181.3710657596372,Alternative,,181.3710657596372,256.0 kbps,2002,C#,135.99917763157896,394,11 You're So Real.m4a
Tangled,Maroon 5,Songs About Jane,198.7395918367347,Pop,,198.7395918367347,256.0 kbps,2003,A,143.5546875,335,05 Tangled.m4a
Drink the water,Jack Johnson,Brushfire Fairytales,201.7709208085148,Singer/Songwriter,,201.7709208085148,192.0 kbps,2000,C#,95.703125,312,09 Drink the water.mp3
Pictures at an Exhibition,The Piano Guys,Wonders,242.23056689342403,Instrumental,Al van der Beek; Steven Sharp Nelson,242.23056689342403,256.0 kbps,2014,F,117.45383522727273,456,12 Pictures at an Exhibition.m4a
A Whole New World,Brad Kane and Lea Salonga,Aladin (Original Motion Picture Soundtrack),160.86204081632653,Disney,"Alan Menken, Tim Rice",160.86204081632653,242.77946370574864 kbps,1992,F,123.046875,311,01 A Whole New World.mp3
Eclipse,Lindsey Stirling,Shatter Me,195.39616843865636,Instrumental,,195.39616843865636,320.0 kbps,2014,G,129.19921875,388,1-13 Eclipse.mp3
Arco Arena,Cake,Comfort Eagle,91.39374149659864,Alternative,,91.39374149659864,256.0 kbps,2002,A,161.4990234375,234,06 Arco Arena.m4a
Secret,Maroon 5,Songs About Jane,295.05596371882086,Pop,,295.05596371882086,256.0 kbps,2003,A,89.10290948275862,352,09 Secret.m4a
All For One,High School Musical Cast,High School Musical 2,253.84054421768707,Disney,"Kenny Ortega, Bill Borden, Barry Rosenbush",253.84054421768707,256.0 kbps,2007,E,151.99908088235293,602,10 All For One.m4a
Satellite,Smash Mouth,Astro Lounge,217.91927437641723,Alternative,,217.91927437641723,256.0 kbps,1999,A#,151.99908088235293,526,06 Satellite.m4a
You Got Growin' Up To Do (Featuring Patty Griffin),Joshua Radin,Simple Times,171.73478458049885,Indie,,171.73478458049885,256.0 kbps,2008,E,117.45383522727273,321,09 You Got Growin' Up To Do (Featuring Patty Griffin).m4a
Unwritten,Natasha Bedingfield,Unwritten,226.84733443401294,Alternative,,226.84733443401294,128.0 kbps,None,A,99.38401442307692,370,Unwritten.mp3
F-Stop Blues,Jack Johnson,Brushfire Fairytales,195.21015873015872,Singer/Songwriter,"Johnson, Jack",195.21015873015872,256.0 kbps,2000,A,129.19921875,406,11 F-Stop Blues.m4a
U.N.I,Ed Sheeran,+ (Deluxe Edition),228.67011337868482,Singer/Songwriter,,228.67011337868482,256.0 kbps,None,F#,151.99908088235293,553,U.N.I.m4a
Helena Beat,Foster the People,Torches,275.597641723356,Alternative,,275.597641723356,256.0 kbps,None,D#,129.19921875,559,Helena Beat.m4a
Sweet Caroline,Neil Diamond,Brother Love's Travelling Salvation Show,202.70101308115392,Classic,,202.70101308115392,128.0 kbps,None,F#,129.19921875,408,Sweet Caroline.mp3
Glad You Came,The Wanted,Glad You Came - Single,199.2968707482993,Pop,"Steve Mac, Wayne Hector & Ed Drewett",199.2968707482993,256.0 kbps,2011,G,129.19921875,392,01 Glad You Came.m4a
In My Place,Coldplay,A Rush Of Blood To The Head,228.99519274376416,Indie,,228.99519274376416,256.0 kbps,None,E,143.5546875,527,In My Place.m4a
Don't Let Go,David Archuleta,David Archuleta,227.4989916349315,Alternative,,227.4989916349315,192.0 kbps,2008,E,135.99917763157896,502,10 Don't Let Go.mp3
I Thought She Knew,NSYNC,No Strings Attached,202.33868480725624,Pop,,202.33868480725624,256.0 kbps,2000,D,151.99908088235293,499,12 I Thought She Knew.m4a
The Call,Regina Spektor,The Chronicles of Narnia: Prince Caspian,187.47791383219953,Disney,,187.47791383219953,256.0 kbps,2008,A#,92.28515625,272,The Call.m4a
Breaking Free,Gabriella & Troy,High School Musical,207.26131519274375,Disney,Andy Dodd and Adam Watts/Jamie Houston,207.26131519274375,256.0 kbps,2006,G,107.666015625,355,08 Breaking Free.m4a
Let Me Talk to You (Prelude) / My Love,Justin Timberlake,FutureSex/LoveSounds,370.2181375516714,Pop,,370.2181375516714,192.0 kbps,2006,E,117.45383522727273,734,04 Let Me Talk to You (Prelude) _ My Love.mp3
Turning Tables,Adele,21,250.05569160997732,Singer/Songwriter,Ryan Tedder/Adele Adkins,250.05569160997732,256.0 kbps,2011,D#,103.359375,391,03 Turning Tables.m4a
Kiwi,Maroon 5,It Won't Be Soon Before Long.,214.598820861678,Pop,Maroon 5,214.598820861678,256.0 kbps,2007,E,143.5546875,372,10 Kiwi.m4a
Friends,Flight of the Conchords,I Told You I Was Freaky,122.94965986394558,Comedy,,122.94965986394558,256.0 kbps,2009,D,123.046875,238,11 Friends.m4a
Subtract One Love (Mutiply The Heartaches),CAKE,B-Sides And Rarities ,167.78739229024944,Alternative,Cake,167.78739229024944,256.0 kbps,2007,E,161.4990234375,429,07 Subtract One Love (Mutiply The Heartaches).m4a
Trashin' the Camp [Phil and N'Sync Version],NSYNC,Tarzan [Original Soundtrack],144.01015873015874,Disney,Disney,144.01015873015874,256.0 kbps,1999,G#,99.38401442307692,229,Trashin' the Camp [Phil and N'Sync Version].m4a
I don't Dance,High School Musical Cast,High School Musical 2,216.31709750566893,Disney,"Kenny Ortega, Bill Borden, Barry Rosenbush",216.31709750566893,256.0 kbps,2007,E,103.359375,353,05 I don't Dance.m4a
Bringin' Da Noise,NSYNC,No Strings Attached,208.7241723356009,Pop,,208.7241723356009,256.0 kbps,2000,B,112.34714673913044,384,09 Bringin' Da Noise.m4a
Hiphopapotamus v Rhymenocerous,Flight of the Conchords,HBO Flight of the Conchords,226.39926569670934,Comedy,,226.39926569670934,128.0 kbps,None,B,107.666015625,396,Hiphopapotamus v Rhymenocerous.mp3
Come Together,The Beatles,Abbey Road,260.95859909514047,Classic Rock,,260.95859909514047,192.0 kbps,1996,D,172.265625,695,Come Together.mp3
Faith,Calvin Harris,Motion,219.26603174603176,Dance,,219.26603174603176,256.0 kbps,None,C,129.19921875,416,Faith.m4a
Pompeii,Bastille,Bad Blood,232.72489795918366,Soft Pop,,232.72489795918366,128.00534992704007 kbps,None,E,129.19921875,445,Pompeii.mp3
Stickshifts And Safetybelts,Cake,Fashion Nugget,129.14938775510205,Alternative,,129.14938775510205,256.0 kbps,1996,E,143.5546875,288,08 Stickshifts And Safetybelts.m4a
Spirits In The Material World,The Police,Every Breath You Take,181.06920634920635,Classic Rock,,181.06920634920635,256.0 kbps,1995,B,143.5546875,415,09 Spirits In The Material World.m4a
I Will Wait,Mumford & Sons,Babel,276.78185941043085,Alternative,,276.78185941043085,256.0 kbps,2012,G#,129.19921875,582,03 I Will Wait.m4a
Levels,Avicii,Levels,199.94251603033558,Dance,,199.94251603033558,192.0 kbps,2011,E,123.046875,408,01 Levels.mp3
Havent Had Enough,Marianas Trench,Ever After,208.2597732426304,Rock,,208.2597732426304,256.0 kbps,None,A,117.45383522727273,414,Havent Had Enough.m4a
Race Car Ya-Yas,Cake,Fashion Nugget,81.22340136054422,Alternative,,81.22340136054422,256.0 kbps,1996,D,117.45383522727273,152,06 Race Car Ya-Yas.m4a
Shatter Me (feat. Lzzy Hale),Lindsey Stirling,Shatter Me,280.86857142857144,Instrumental,,280.86857142857144,256.0 kbps,2014,A,143.5546875,657,1-04 Shatter Me (feat. Lzzy Hale).m4a
Dreams,Fleetwood Mac,Rumours,254.51392290249433,Classic Rock,Stevie Nicks,254.51392290249433,256.0 kbps,1977,E,123.046875,490,02 Dreams.m4a
First - Be Thou my Vision,Lauren Daigle,How Can It Be,246.56464148877942,Christian & Gospel,,246.56464148877942,128.0 kbps,None,B,95.703125,379,First - Be Thou my Vision.mp3
Work This Out,High School Musical Cast,High School Musical 2,183.36798185941043,Disney,"Kenny Ortega, Bill Borden, Barry Rosenbush",183.36798185941043,256.0 kbps,2007,A#,123.046875,350,03 Work This Out.m4a
Santa Claus is Coming to Town,Pentatonix,That's Christmas to Me,162.49324263038548,Christmas,,162.49324263038548,256.0 kbps,None,B,117.45383522727273,304,Santa Claus is Coming to Town.m4a
Breakaway,Kelly Clarkson,Billboard Top 100 Songs of 2005,237.05251700680273,Alternative,,237.05251700680273,256.0 kbps,2005,G,161.4990234375,607,Breakaway.m4a
Love Me Do,The Beatles,Please Please Me,144.98539682539683,Classic,,144.98539682539683,256.0 kbps,1996,G,143.5546875,335,Love Me Do.m4a
Switch,Will Smith,Switch - Single,196.71945578231293,Alternative,,196.71945578231293,256.0 kbps,2005,G#,103.359375,324,28 Switch.m4a
Where Are You,Our Lady Peace,Juno Awards 2006,244.64544217687074,Alternative,,244.64544217687074,256.0 kbps,2005,C,161.4990234375,644,03 Where Are You.m4a
Bring It Back,Kris Allen,Kris Allen,222.47038548752835,Singer/Songwriter,Kris Allen/Francis White,222.47038548752835,256.0 kbps,2009,D#,80.74951171875,290,06 Bring It Back.m4a
Lucky Strike,Maroon 5,Overexposed (Deluxe Edition),185.34167800453514,Pop,"Adam Levine, Ryan Tedder & Noel Zancanella",185.34167800453514,256.0 kbps,2012,D,143.5546875,443,04 Lucky Strike.m4a
Carol Brown (Stick Around),Flight of the Conchords,HBO Flight of the Conchords,198.59466666666665,Comedy,,198.59466666666665,192.0 kbps,2009,E,151.99908088235293,491,17 Carol Brown (Stick Around).mp3
To The Summit,The Piano Guys,PIANO GUYS Hits,300.232,Instrumental,,300.232,128.0 kbps,None,A,143.5546875,705,01 To The Summit.mp3
Stay The Night (ft. Hayley Williams),Zedd,Clarity,217.40843537414966,Dance,,217.40843537414966,256.0 kbps,None,G#,129.19921875,452,Stay The Night (ft. Hayley Williams).m4a
Take Flight,Lindsey Stirling,Shatter Me,264.33596371882084,Instrumental,,264.33596371882084,256.0 kbps,2014,A,143.5546875,593,1-08 Take Flight.m4a
Roundtable Rival,Lindsey Stirling,Shatter Me,203.3603628117914,Instrumental,,203.3603628117914,256.0 kbps,2014,A,129.19921875,413,1-06 Roundtable Rival.m4a
Transcendence,Lindsey Stirling,Lindsey Stirling,225.25678004535146,Instrumental,Lindsey Stirling; Marko G.,225.25678004535146,256.0 kbps,2012,A,129.19921875,464,07 Transcendence.m4a
Love Song,Sky,Piece Of Paradise,216.68861678004535,Pop,,216.68861678004535,256.0 kbps,1998,C#,99.38401442307692,348,08 Love Song.m4a
Colors Of The Wind,Judy Kuhn,Pocahontas (Original Motion Picture Soundtrack),214.45950113378686,Disney,Alan Menken,214.45950113378686,256.0 kbps,1996,G#,151.99908088235293,482,01 Colors Of The Wind.m4a
Sharp Dressed Man,ZZ Top,Eliminator,254.8390022675737,Classic Rock,,254.8390022675737,256.0 kbps,None,C,123.046875,519,Sharp Dressed Man.m4a
Mirror Haus,Lindsey Stirling,Shatter Me,235.68253968253967,Instrumental,,235.68253968253967,256.0 kbps,2014,B,129.19921875,432,1-02 Mirror Haus.m4a
Do You Want To Know A Secret,The Beatles,Please Please Me,128.63518796992483,Classic,,128.63518796992483,192.0 kbps,1996,A#,123.046875,243,Do You Want To Know A Secret.mp3
I'm Like A Bird,Nelly Furtado,"Whoa, Nelly! (Advance)",243.22902494331066,Pop,,243.22902494331066,256.0 kbps,2000,C,89.10290948275862,356,I'm Like A Bird.m4a
Shave it up,Zedd,Clarity,190.6590476190476,Dance,,190.6590476190476,256.0 kbps,None,G,129.19921875,391,Shave it up.m4a
Summer Jam,The Piano Guys,Wonders,234.75374149659865,Instrumental,Jon Schmidt; Steven Sharp Nelson,234.75374149659865,256.0 kbps,2014,E,161.4990234375,595,06 Summer Jam.m4a
Road Man,Smash Mouth,Astro Lounge,151.16190476190476,Alternative,,151.16190476190476,256.0 kbps,1999,A#,95.703125,228,10 Road Man.m4a
Best Of You,Foo Fighters,Foo Fighters: Greatest Hits,254.9551020408163,Alternative,,254.9551020408163,256.0 kbps,2005,G#,129.19921875,544,Best Of You.m4a
Penny Lane,The Beatles,Magical Mystery Tour,180.95310657596372,Classic,,180.95310657596372,256.0 kbps,1996,F#,112.34714673913044,321,Penny Lane.m4a
Stars Come Out,Zedd,Stars Come Out - Single,266.12435595588164,Dance,,266.12435595588164,128.0 kbps,None,G,129.19921875,554,Stars Come Out.mp3
500 Miles,The Proclaimers,Sunshine on Leith,219.52145124716554,Alternative,,219.52145124716554,256.0 kbps,None,B,129.19921875,452,500 Miles.m4a
Yellow Submarine,The Beatles,Magical Mystery Tour,159.4828005077629,Classic,,159.4828005077629,192.0 kbps,1996,G#,112.34714673913044,283,Yellow Submarine.mp3
I've Got My Mind Set On You,The Beatles,Anthology,233.4020818279465,Classic Rock,,233.4020818279465,192.0 kbps,1996,B,151.99908088235293,564,I've Got My Mind Set On You.mp3
Lost At Sea,Zedd,Clarity,224.62611346118152,Dance,,224.62611346118152,128.0 kbps,None,G#,129.19921875,470,Lost At Sea.mp3
The Way You Look Tonight,Kris Allen,American Idol 8,115.896,Singer/Songwriter,,115.896,115.86995237109132 kbps,None,A,123.046875,235,06 The Way You Look Tonight.mp3
We Are Okay,Joshua Radin,Simple Times,162.00562358276645,Indie,,162.00562358276645,256.0 kbps,2008,D#,107.666015625,282,10 We Are Okay.m4a
Berlin,The Piano Guys,The Piano Guys 2,240.55873015873016,Instrumental,,240.55873015873016,256.0 kbps,2013,E,143.5546875,533,05 Berlin.m4a
Mad Season,Matchbox Twenty,Mad Season,302.1612698412698,Alternative,,302.1612698412698,256.0 kbps,2000,A#,172.265625,855,06 Mad Season.m4a
They Bring Me To You,Joshua Radin,Simple Times,238.95655328798185,Indie,,238.95655328798185,256.0 kbps,2008,B,92.28515625,352,06 They Bring Me To You.m4a
Ants Marching / Ode to Joy,The Piano Guys,Wonders,172.52426303854875,Instrumental,Al van der Beek; Jon Schmidt; Steven Sharp Nelson,172.52426303854875,256.0 kbps,2014,D,123.046875,328,03 Ants Marching _ Ode to Joy.m4a
Through Heaven's Eyes,Disney,Prince of Egypt,221.90700132926736,Disney,,221.90700132926736,320.0 kbps,1998,E,123.046875,447,07 Through Heaven's Eyes.mp3
Perfect World,Billy Talent,Billy Talent II,186.81276369659653,Rock,,186.81276369659653,160.0 kbps,2006,B,83.35433467741936,254,11 Perfect World.mp3
Rollin On A River,Creedence Clearwater Revival,Long Road Home,188.5281307164014,Classic Rock,,188.5281307164014,192.0 kbps,None,D,123.046875,369,Rollin On A River.mp3
Set Fire To The Rain,Adele,21,243.04326530612244,Singer/Songwriter,Fraser T. Smith/Adele Adkins,243.04326530612244,256.0 kbps,2011,D,107.666015625,421,05 Set Fire To The Rain.m4a
In Summer,Disney,Frozen (Original Motion Picture Soundtrack),114.17251700680272,Disney,,114.17251700680272,256.0 kbps,2013,G,107.666015625,180,07 In Summer.m4a
Thats Christmas To Me,Pentatonix,That's Christmas to Me,204.5387755102041,Christmas,,204.5387755102041,128.01629390166028 kbps,None,F#,172.265625,552,Thats Christmas To Me.mp3
Stoned,Smash Mouth,Astro Lounge,248.3606349206349,Alternative,,248.3606349206349,256.0 kbps,1999,B,83.35433467741936,323,08 Stoned.m4a
Can't Stop,Maroon 5,It Won't Be Soon Before Long.,152.88018140589568,Pop,Maroon 5,152.88018140589568,256.0 kbps,2007,E,151.99908088235293,362,07 Can't Stop.m4a
Won't Go Home Without You,Maroon 5,It Won't Be Soon Before Long.,231.22430839002268,Pop,Maroon 5,231.22430839002268,256.0 kbps,2007,D#,112.34714673913044,372,05 Won't Go Home Without You.m4a
Carol Brown,Flight of the Conchords,I Told You I Was Freaky,206.88979591836735,Comedy,,206.88979591836735,256.0 kbps,2009,E,151.99908088235293,502,12 Carol Brown.m4a
Second Hand News,Fleetwood Mac,Rumours,174.05766884744327,Classic Rock,,174.05766884744327,192.0 kbps,1977,A,117.45383522727273,333,01 Second Hand News.mp3
V-Pop,Lindsey Stirling,Shatter Me,225.86049886621316,Instrumental,,225.86049886621316,256.0 kbps,2014,A,129.19921875,465,1-03 V-Pop.m4a
We Found Love (feat. Calvin Harris),Rihanna,We Found Love (feat. Calvin Harris) - Single,215.29541950113378,Pop,Calvin Harris,215.29541950113378,256.0 kbps,2011,A#,86.1328125,297,01 We Found Love (feat. Calvin Harris).m4a
Must Get Out,Maroon 5,Songs About Jane,239.49061224489796,Pop,,239.49061224489796,256.0 kbps,2003,G,95.703125,356,07 Must Get Out.m4a
I Need To Know,Kris Allen,Kris Allen,214.25052154195012,Singer/Songwriter,Kris Allen/Toby Gad/Lindy Robbins,214.25052154195012,256.0 kbps,2009,D,123.046875,426,12 I Need To Know.m4a
Starships,Nicki Minaj,Starships - Single,210.86061647625556,Pop,,210.86061647625556,192.0 kbps,2012,F#,123.046875,430,01 Starships.mp3
Lonely No More,Rob Thomas,...something to be,225.79083900226757,Alternative,,225.79083900226757,256.0 kbps,2005,E,86.1328125,319,02 Lonely No More.m4a
I Have Made Mistakes,The Oh Hellos,"Through the Deep, Dark Valley",289.5528344671202,Singer/Songwriter,,289.5528344671202,256.0 kbps,2012,F#,161.4990234375,748,09 I Have Made Mistakes.m4a
"Excuse Me, I Think I've Got A Heartache",CAKE,B-Sides And Rarities ,141.9435827664399,Alternative,Cake,141.9435827664399,256.0 kbps,2007,G,151.99908088235293,338,"04 Excuse Me, I Think I've Got A Heartache.m4a"
This Suffering,Billy Talent,Billy Talent II,237.0292970521542,Rock,Billy Talent,237.0292970521542,256.0 kbps,2006,A,80.74951171875,316,03 This Suffering.m4a
